educator_id,event_id
2166100,1
2166100,2
2166100,3
2166100,4
2166100,5
2166100,6
2166100,7
9621,2555704
9621,2555706
1142,3101855
76653,11
76653,12
76653,13
76653,14
1142,3101856
2410,3424773
6701,17
6701,18
6701,19
6701,20
6701,21
6701,22
6701,23
6701,24
6701,25
2410,3424776
76678,27
76678,28
76678,29
76678,30
76678,31
76678,32
76678,33
76678,34
76678,35
76678,36
76678,37
76678,38
76678,39
76678,40
76678,41
76678,42
76678,43
76678,44
76678,45
76678,46
76678,47
76678,48
76678,49
9621,3566905
5531,3567095
5531,3567096
5531,3567097
5531,3567100
9621,2694003
9621,2694004
2166645,57
2166645,58
2166645,59
2166645,60
2166645,61
2166645,62
2166645,63
2166645,64
2166645,65
2166645,66
2166645,67
2166645,68
9621,2694005
9621,2694006
9621,2694007
9621,2694008
5531,3567103
3667,76
3667,77
3667,78
3667,79
3667,80
3667,81
3667,82
3667,83
5531,3567105
5531,3567107
5531,3567109
5531,3567111
5531,3567113
2534,3052785
2534,3052790
2534,3052794
2042,92
2042,93
2042,94
2042,95
2042,96
2042,97
2042,98
2042,99
2042,100
2042,101
2042,102
2042,103
2534,3052796
2581,3424813
5531,3567115
3296,3567118
2974,108
2974,109
2974,110
2974,111
2974,112
2974,113
2974,114
2974,115
4749,2521186
3296,3567120
9621,3376413
9621,3376414
9621,3376415
3296,3567122
3296,3567124
12927,3567191
5121,3194645
12927,3567194
2168479,126
2168479,127
2168479,128
2168479,129
2168479,130
2168479,131
2168479,132
2168479,133
2168479,134
2168479,135
2168479,136
2168479,137
2168479,138
2168479,139
2168479,140
2168479,141
2168479,142
2168479,143
2168479,144
2168479,145
12927,3567197
2167178,3567249
2167178,3567250
5370,3101885
2167178,3567251
2167178,3567252
3298,3567253
3298,3567254
3298,3567255
3298,3567256
3298,3567257
12927,3231796
3060,3052845
2166551,159
2166551,160
2166551,161
2166551,162
2166551,163
2166551,164
7994,165
7994,166
7994,167
7994,168
7994,169
7994,170
7994,171
7994,172
3060,3052846
3298,3567258
3298,3567259
3298,3567260
3298,3567261
3298,3567262
3298,3567263
5317,3010932
3298,3567264
3298,3567265
3511,2644767
3511,2644769
19319,188
19319,189
19319,190
3298,3567266
5787,3101928
5787,3101929
3298,3567267
3298,3567268
2168483,196
2168483,197
2168483,198
2168483,199
2168483,200
2168483,201
2168483,202
2168483,203
3298,3567269
2167974,205
2167974,206
2167974,207
2167974,208
2167974,209
2167974,210
2167974,23
2167974,212
2167974,213
2167974,214
2167974,215
2167974,216
2167974,217
2167974,218
2167974,219
2167974,220
2167974,221
3298,3567270
3298,3567271
3298,3231838
3511,3101950
3511,3101969
3511,3101972
11563,228
3298,3231839
3298,3567272
2166671,234
2166671,235
2166671,236
2166671,237
2166671,238
2166671,239
2168914,1589766
2166093,241
2166093,242
2166093,243
2166093,244
2166093,245
2166093,246
2166093,249
2166093,250
2166093,251
2166093,252
2166093,253
2166093,254
2166093,255
2168914,1589769
3511,3101976
9621,3566908
9621,3566911
9621,3566913
9621,3566915
9621,3566918
9621,3566920
9621,3566922
9621,3566924
9621,3566926
9621,3566928
5317,3474778
9621,1522672
9621,1522673
9621,1522674
9621,1522675
2165804,1555770
2165804,1555772
2168578,1556029
1833,1525608
1833,1525612
1833,1543820
3882,1556481
3882,1556484
3882,1556486
9287,1556488
9287,1556490
9287,1556492
9287,1556493
9287,1556495
9287,1556499
9287,1556501
9287,1556503
1835,1522163
1835,1556507
1835,1556510
2194,1556512
2194,1531028
2194,1531030
2194,1531032
2194,1556520
2194,1531033
2194,1556523
2194,1556526
2194,1556527
2194,1556530
2194,1556531
2194,1556533
1409,1556535
1409,1556537
1409,1556539
5045,1556541
5045,1556543
5045,1556544
5045,1556546
5045,1556548
5045,1525910
5486,1556554
5486,1556556
5486,1556558
5486,1556560
2168134,1556562
2168134,1556564
3885,1556566
3885,1556568
3885,1556571
3885,1556573
3885,1556575
3885,1556577
3885,1556579
3885,1556581
2168592,1523758
2168592,1523760
4521,1556599
4521,1556601
4521,1556602
4521,1556604
4521,1556606
4521,1556609
4521,1556611
4521,1556613
4521,1556615
4521,1556617
4521,1556619
4521,1556621
4521,1556623
4521,1556625
4521,1556627
4521,1556629
4521,1556631
4521,1556632
4521,1556634
4521,1556636
4521,1556638
4521,1556640
4521,1556643
4521,1556644
4521,1556647
4521,1556648
4521,1556651
4521,1556653
4521,1556655
4521,1556657
4521,1556659
4521,1556661
4521,1556663
4521,1556665
4521,1556667
4521,1556670
4521,1556671
4521,1556674
4521,1556675
4521,1556677
4521,1556679
4521,1556681
4521,1556683
4521,1556685
4521,1556687
4521,1556689
4521,1556691
4521,1556693
4521,1556695
4521,1556697
4521,1556700
4521,1556701
4521,1556704
4521,1556706
4521,1556708
2195,1556743
2195,1556746
2195,1556749
2195,1556751
2195,1556753
2195,1532188
2195,1524319
3889,1556759
3889,1556761
3889,1556764
3889,1556766
3889,1556768
3889,1556769
3889,1556771
3889,1556774
3889,1556775
1836,1527168
1836,1556779
1836,1556783
1836,1527174
1836,1556787
1836,1527179
1836,1527182
1836,1527184
1836,1527192
1836,1527194
1836,1527196
4395,1556801
13226,1556803
13226,1556809
13226,1556813
13226,1556824
13226,1556832
13226,1556834
13226,1556844
3890,1556852
3890,1556855
1707,1556856
1707,1556858
2197,1555845
2197,1556863
2197,1556870
2197,1556875
2197,1556877
2197,1556884
2197,1536149
2197,1536150
2197,1536151
3103,1556895
3103,1556897
3103,1526279
3103,1526286
3103,1556907
2198,1526898
2198,1526912
2198,1526918
2198,1530318
2198,1526920
5360,1556920
5360,1556922
5360,1556924
1837,1556926
1837,1556929
1837,1556932
1837,1556934
1837,1556936
1837,1556938
1837,1556940
1837,1556942
1837,1522802
1837,1556946
1837,1556948
1837,1556950
2167003,1556952
2167003,1556954
2167003,1556956
2167003,1556958
2167003,1556961
5317,3474779
5317,3474780
9621,3566929
9621,3566932
5167,276
5167,277
5167,278
5167,279
5167,280
5167,281
5167,282
5167,283
5167,284
5167,285
5167,286
5167,287
5167,288
5167,289
5167,290
5167,291
5167,292
5167,293
5167,294
5167,295
5167,296
5167,297
5167,298
9621,3566933
9621,3566935
9621,3566938
2167589,2741090
2167589,2741092
2167589,2741099
76323,305
76323,306
76323,308
76323,309
76323,310
76323,312
76323,313
76323,314
76323,316
76323,317
76323,318
76323,320
76323,321
76323,322
76323,324
76323,325
76323,326
76323,328
76323,329
76323,330
76323,332
76323,333
76323,334
76323,336
2167589,2741101
76391,338
3288,339
9621,1522676
9621,1522677
9621,1522678
9621,1522679
9621,1522680
9621,1522681
9621,1522682
9621,1522683
9621,1522684
9621,1522685
9621,1522686
9621,1522687
9621,1522688
9621,1522689
9621,1522690
9621,1522691
9621,1522692
9621,1522693
9621,1522694
9621,1522695
9621,1522696
9621,1522697
9621,1522698
9621,1522699
9621,1522700
9621,1522701
9621,1522702
9621,1522703
9621,1522704
9621,1522705
9621,1522706
9621,1522707
9621,1522708
3293,1522709
3293,1522710
3293,1522711
3293,1522712
5531,1522713
5531,1522714
5531,1522715
5531,1522716
5531,1522717
5531,1522718
10717,1522719
10717,1522720
3295,1522721
3295,1522722
3295,1522723
3295,1522724
3295,1522725
3295,1522726
3295,1522727
3295,1522728
3295,1522729
3295,1522730
3295,1522731
3296,1522732
3296,1522733
3296,1522734
3296,1522735
12927,1522736
12927,1522737
12927,1522738
12927,1522739
2495,1522740
2495,1522741
2495,1522742
2495,1522743
2495,1522744
2167496,1522745
2167496,1522746
2167496,1522747
2167496,1522748
